Compound.Type,Column,Compound.Name,Compound.Name_old,Compound.Name_figure,Compound.Name_SQL,QE.LinRange,QE.RF.ratio,QE.RSD,TQS.LinRange,TQS.RF.ratio,TQS.RSD,Emperical.Formula,RT..min.,m.z,ionization_form,z,C0,ChEBI,ChEBI_old,Fraction1,Fraction2,Liquid.Fraction,Conc..uM,HILICMix,Date.added,KEGGNAME,IUPAC.Name,InChI.Key.Name,Canon.SMILES.Name,Classyfire
New3,HILIC,Gonyol,Gonyol,Gonyol,Gonyol,NA,NA,NA,NA,NA,NA,C7H14O3S,10.74,179.074191,[M+H],1,NA,NA,NA,HILICPos,NA,Aq,4,Mix2,180701,NA,(3S)-5-(Dimethylsulfonio)-3-hydroxypentanoate,BGFHLXJVANJCHK-ZCFIWIBFSA-N,C[S+](C)CCC(CC(=O)[O-])O,kingdom: Organic_compounds; superclass: Organic_acids_and_derivatives; class: Hydroxy_acids_and_derivatives; subclass: Beta_hydroxy_acids_and_derivatives; level 5: Beta_hydroxy_acids_and_derivatives; level 6: Beta_hydroxy_acids_and_derivatives; level 7: Beta_hydroxy_acids_and_derivatives; level 8: Beta_hydroxy_acids_and_derivatives
New3,HILIC,Betonicine,Betonicine,Betonicine,Betonicine,NA,NA,NA,NA,NA,NA,C7H13NO3,8.45,160.097369,[M+H],1,cpd:C08269,NA,CHEBI:85533,HILICPos,NA,Aq,4,Mix2,180701,(-)-Betonicine; Betonicine; trans-4-Hydroxy-L-proline betaine,"(2S,4R)-4-hydroxy-1,1-dimethylpyrrolidin-1-ium-2-carboxylate",MUNWAHDYFVYIKH-RITPCOANSA-N,C[N+]1(CC(CC1C(=O)[O-])O)C,kingdom: Organic_compounds; superclass: Organic_acids_and_derivatives; class: Carboxylic_acids_and_derivatives; subclass: Amino_acids_peptides_and_analogues; level 5: Amino_acids_and_derivatives; level 6: Alpha_amino_acids_and_derivatives; level 7: Proline_and_derivatives; level 8: Proline_and_derivatives
New3,HILIC,O-Methylmalonyl-L-carnitine,Methylmalonyl carnitine,MMC,MMC,NA,NA,NA,NA,NA,NA,C11H19NO6,9.67,262.129063,[M+H],1,NA,NA,CHEBI:85473,HILICPos,NA,Aq,4,Mix2,180701,NA,(3R)-3-(2-carboxypropanoyloxy)-4-(trimethylazaniumyl)butanoate,XROYFEWIXXCPAW-BRFYHDHCSA-N,CC(C(=O)O)C(=O)OC(CC(=O)[O-])C[N+](C)(C)C,kingdom: Organic_compounds; superclass: Lipids_and_lipid-like_molecules; class: Fatty_Acyls; subclass: Fatty_acid_esters; level 5: Acyl_carnitines; level 6: Acyl_carnitines; level 7: Acyl_carnitines; level 8: Acyl_carnitines
New3,HILIC,Succinic semialdehyde,Succinic semialdehyde,SSA,Succinic semialdehyde,NA,NA,NA,NA,NA,NA,C4H6O3,6.51,101.02387,[M-H],-1,cpd:C00232,NA,CHEBI:16265,HILICNeg,NA,Aq,4,Mix2,180701,Succinate semialdehyde; Succinic semialdehyde; 4-Oxobutanoate,4-oxobutanoic acid,UIUJIQZEACWQSV-UHFFFAOYSA-N,C(CC(=O)O)C=O,kingdom: Organic_compounds; superclass: Lipids_and_lipid-like_molecules; class: Fatty_Acyls; subclass: Fatty_acids_and_conjugates; level 5: Straight_chain_fatty_acids; level 6: Straight_chain_fatty_acids; level 7: Straight_chain_fatty_acids; level 8: Straight_chain_fatty_acids
New3,HILIC,Arsenobetaine,Arsenobetaine,Arsenobetaine,Arsenobetaine,NA,NA,NA,NA,NA,NA,C5H11AsO2,7.06,179.005326,[M+H],1,cpd:C19331,NA,CHEBI:82392,HILICPos,NA,Aq,4,Mix2,180701,Arsenobetaine,2-trimethylarsoniumylacetate,SPTHHTGLGVZZRH-UHFFFAOYSA-N,C[As+](C)(C)CC(=O)[O-],kingdom: Organic_compounds; superclass: Organometallic_compounds; class: Organometalloid_compounds; subclass: Organoarsenic_compounds; level 5: Tetraorganoarsonium_salts; level 6: Tetraorganoarsonium_salts; level 7: Tetraorganoarsonium_salts; level 8: Tetraorganoarsonium_salts
New3,HILIC,Dexpanthenol,Dexpanthenol,Dexpanthenol,Dexpanthenol,NA,NA,NA,NA,NA,NA,C9H19NO4,2.27,206.139234,[M+H],1,cpd:C05944,NA,CHEBI:27373,HILICPos,NA,Aq,4,Mix2,180701,"Pantothenol; (R)-2,4-Dihydroxy-N-(3-hydroxypropyl)-3,3-dimethylbutanamide; Dexpanthenol; 2,4-Dihydroxy-N-(3-hydroxypropyl)-3,3-dimethylbutanamide; (+)-Panthenol; Bepanthen; Bepanthene; Bepantol; D-(+)-2,4-Dihydroxy-N-(3-hydroxypropyl)-3,3-dimethylbutyramide; Cozyme; D(+)-Panthenol; D(+)-Pantothenyl alcohol; D-P-A Injection; D-Panthenol; d-Pantothenol; d-Pantothenyl alcohol; Ilopan; Motilyn; Panadon; Panthenol; Panthoderm; Pantol; Pantothenyl alcohol; N-Pantoyl-propanolamine; Provitamin B; Synapan; Thenalton; Zentinic","(2R)-2,4-dihydroxy-N-(3-hydroxypropyl)-3,3-dimethylbutanamide",SNPLKNRPJHDVJA-ZETCQYMHSA-N,CC(C)(CO)C(C(=O)NCCCO)O,kingdom: Organic_compounds; superclass: Organic_oxygen_compounds; class: Organooxygen_compounds; subclass: Alcohols_and_polyols; level 5: Secondary_alcohols; level 6: Secondary_alcohols; level 7: Secondary_alcohols; level 8: Secondary_alcohols
New3,HILIC,Inosine,Inosine,Inosine,Inosine,NA,NA,NA,NA,NA,NA,C10H12N4O5,7.57,269.088596,[M+H],1,cpd:C00294,NA,CHEBI:17596,HILICPos,NA,Aq,4,Mix2,180701,Inosine,"9-[(2R,3R,4S,5R)-3,4-dihydroxy-5-(hydroxymethyl)oxolan-2-yl]-1H-purin-6-one",UGQMRVRMYYASKQ-KQYNXXCUSA-N,C1=NC2=C(C(=O)N1)N=CN2C3C(C(C(O3)CO)O)O,kingdom: Organic_compounds; superclass: Nucleosides_nucleotides_and_analogues; class: Purine_nucleosides; subclass: Purine_nucleosides; level 5: Purine_nucleosides; level 6: Purine_nucleosides; level 7: Purine_nucleosides; level 8: Purine_nucleosides
New3,HILIC,Inosine,Inosine,Inosine,Inosine,NA,NA,NA,NA,NA,NA,C10H12N4O5,7.57,267.072946,[M-H],-1,cpd:C00294,NA,CHEBI:17596,HILICNeg,NA,Aq,4,Mix2,180701,Inosine,"9-[(2R,3R,4S,5R)-3,4-dihydroxy-5-(hydroxymethyl)oxolan-2-yl]-1H-purin-6-one",UGQMRVRMYYASKQ-KQYNXXCUSA-N,C1=NC2=C(C(=O)N1)N=CN2C3C(C(C(O3)CO)O)O,kingdom: Organic_compounds; superclass: Nucleosides_nucleotides_and_analogues; class: Purine_nucleosides; subclass: Purine_nucleosides; level 5: Purine_nucleosides; level 6: Purine_nucleosides; level 7: Purine_nucleosides; level 8: Purine_nucleosides
New3,HILIC,Hordenine,Hordenine,Hordenine,Hordenine,NA,NA,NA,NA,NA,NA,C10H15NO,3.34,166.123189,[M+H],1,cpd:C06199,NA,CHEBI:5764,HILICPos,NA,Aq,4,Mix2,180701,Hordenine; 4-[2-(Dimethylamino)ethyl]phenol,4-[2-(dimethylamino)ethyl]phenol,KUBCEEMXQZUPDQ-UHFFFAOYSA-N,CN(C)CCC1=CC=C(C=C1)O,kingdom: Organic_compounds; superclass: Benzenoids; class: Benzene_and_substituted_derivatives; subclass: Phenethylamines; level 5: Phenethylamines; level 6: Phenethylamines; level 7: Phenethylamines; level 8: Phenethylamines
New3,HILIC,Allopurinol,Allopurinol,Allopurinol,Allopurinol,NA,NA,NA,NA,NA,NA,C5H4N4O,4.16,137.046336,[M+H],1,NA,NA,CHEBI:40279,HILICPos,NA,Aq,4,Mix2,180701,NA,"1,5-dihydropyrazolo[3,4-d]pyrimidin-4-one",OFCNXPDARWKPPY-UHFFFAOYSA-N,C1=NNC2=C1C(=O)NC=N2,kingdom: Organic_compounds; superclass: Organoheterocyclic_compounds; class: Pyrazolopyrimidines; subclass: Pyrazolo[34-d]pyrimidines; level 5: Pyrazolo[34-d]pyrimidines; level 6: Pyrazolo[34-d]pyrimidines; level 7: Pyrazolo[34-d]pyrimidines; level 8: Pyrazolo[34-d]pyrimidines
New3,HILIC,Allopurinol,Allopurinol,Allopurinol,Allopurinol,NA,NA,NA,NA,NA,NA,C5H4N4O,4.16,135.030686,[M-H],-1,NA,NA,CHEBI:40279,HILICNeg,NA,Aq,4,Mix2,180701,NA,"1,5-dihydropyrazolo[3,4-d]pyrimidin-4-one",OFCNXPDARWKPPY-UHFFFAOYSA-N,C1=NNC2=C1C(=O)NC=N2,kingdom: Organic_compounds; superclass: Organoheterocyclic_compounds; class: Pyrazolopyrimidines; subclass: Pyrazolo[34-d]pyrimidines; level 5: Pyrazolo[34-d]pyrimidines; level 6: Pyrazolo[34-d]pyrimidines; level 7: Pyrazolo[34-d]pyrimidines; level 8: Pyrazolo[34-d]pyrimidines
New4,HILIC,Acetylcholine,Acetylcholine,Acetylcholine,Acetylcholine,NA,NA,NA,NA,NA,NA,C7H16NO2,13.37,146.118104,[M],1,cpd:C01996,NA,CHEBI:15355,HILICPos,NA,Aq,4,Mix2,190514,Acetylcholine; O-Acetylcholine,2-acetyloxyethyl(trimethyl)azanium,OIPILFWXSMYKGL-UHFFFAOYSA-N,CC(=O)OCC[N+](C)(C)C,kingdom: Organic_compounds; superclass: Organic_nitrogen_compounds; class: Organonitrogen_compounds; subclass: Quaternary_ammonium_salts; level 5: Cholines; level 6: Acyl_cholines; level 7: Acyl_cholines; level 8: Acyl_cholines
New4,HILIC,L-Cysteinesulfinic acid,Cysteinesulfinic acid,CSA,CSA,NA,NA,NA,NA,NA,NA,C3H7NO4S,10.74,154.017406,[M+H],1,cpd:C00606,NA,CHEBI:16345,HILICPos,NA,Aq,5,Mix2,190514,3-Sulfino-L-alanine; L-Cysteinesulfinic acid; 3-Sulphino-L-alanine; 3-Sulfinoalanine,(2R)-2-amino-3-sulfinopropanoic acid,ADVPTQAUNPRNPO-REOHCLBHSA-N,C(C(C(=O)O)N)S(=O)O,kingdom: Organic_compounds; superclass: Organic_acids_and_derivatives; class: Carboxylic_acids_and_derivatives; subclass: Amino_acids_peptides_and_analogues; level 5: Amino_acids_and_derivatives; level 6: Alpha_amino_acids_and_derivatives; level 7: Alpha_amino_acids; level 8: L-alpha-amino_acids
New4,HILIC,L-Cysteinesulfinic acid,Cysteinesulfinic acid,CSA,CSA,NA,NA,NA,NA,NA,NA,C3H7NO4S,10.74,152.001756,[M-H],-1,cpd:C00606,NA,CHEBI:16345,HILICNeg,NA,Aq,5,Mix2,190514,3-Sulfino-L-alanine; L-Cysteinesulfinic acid; 3-Sulphino-L-alanine; 3-Sulfinoalanine,(2R)-2-amino-3-sulfinopropanoic acid,ADVPTQAUNPRNPO-REOHCLBHSA-N,C(C(C(=O)O)N)S(=O)O,kingdom: Organic_compounds; superclass: Organic_acids_and_derivatives; class: Carboxylic_acids_and_derivatives; subclass: Amino_acids_peptides_and_analogues; level 5: Amino_acids_and_derivatives; level 6: Alpha_amino_acids_and_derivatives; level 7: Alpha_amino_acids; level 8: L-alpha-amino_acids
New4,HILIC,beta-Alaninebetaine,Trimethylammonium Propionate (TMAP),TMAP,TMAP,NA,NA,NA,NA,NA,NA,C6H13NO2,9.38,132.1018,[M+H],1,cpd:C08263,NA,CHEBI:28825,HILICPos,NA,Aq,4,Mix2,190514,beta-Alaninebetaine; beta-Alanine betaine; Propiobetaine; Trimethylalanine; Methylbetaine,3-(trimethylazaniumyl)propanoate,ACZVSMNFVFBOTM-UHFFFAOYSA-N,C[N+](C)(C)CCC(=O)[O-],kingdom: Organic_compounds; superclass: Organic_nitrogen_compounds; class: Organonitrogen_compounds; subclass: Quaternary_ammonium_salts; level 5: Tetraalkylammonium_salts; level 6: Tetraalkylammonium_salts; level 7: Tetraalkylammonium_salts; level 8: Tetraalkylammonium_salts
New5,HILIC,"N6,N6,N6-Trimethyl-L-lysine",Trimethyl-L-lysine,Trimethyl-L-lysine,Trimethyl L lysine,NA,NA,NA,NA,NA,NA,C9H20N2O2,17.14,189.160303,[M+H],1,cpd:C03793,CHEBI:17311,CHEBI:58100,HILICPos,NA,Aq,4,Mix2,190514,"N6,N6,N6-Trimethyl-L-lysine",(2S)-2-amino-6-(trimethylazaniumyl)hexanoate,MXNRLFUSFKVQSK-QMMMGPOBSA-N,C[N+](C)(C)CCCCC(C(=O)[O-])N,NA
New5,HILIC,5-Methylcytosine,5-Methylcytosine,5-Methylcytosine,Methylcytosine,NA,NA,NA,NA,NA,NA,C5H7N3O,5.53,126.066737,[M+H],1,cpd:C02376,NA,CHEBI:27551,HILICPos,NA,Aq,4,Mix2,190514,5-Methylcytosine,6-amino-5-methyl-1H-pyrimidin-2-one,LRSASMSXMSNRBT-UHFFFAOYSA-N,CC1=C(NC(=O)N=C1)N,kingdom: Organic_compounds; superclass: Organoheterocyclic_compounds; class: Diazines; subclass: Pyrimidines_and_pyrimidine_derivatives; level 5: Hydroxypyrimidines; level 6: Hydroxypyrimidines; level 7: Hydroxypyrimidines; level 8: Hydroxypyrimidines
New5,HILIC,N6-Methyladenine,6-Methyladenine,N6-Methyladenine,N6 Methyladenine,NA,NA,NA,NA,NA,NA,C6H7N5,3.97,150.07797,[M+H],1,cpd:C08434,NA,CHEBI:28871,HILICPos,NA,Aq,4,Mix2,190514,6-Methylaminopurine; N6-Methyladenine,N-methyl-7H-purin-6-amine,CKOMXBHMKXXTNW-UHFFFAOYSA-N,CNC1=NC=NC2=C1NC=N2,kingdom: Organic_compounds; superclass: Organoheterocyclic_compounds; class: Imidazopyrimidines; subclass: Purines_and_purine_derivatives; level 5: 6-aminopurines; level 6: 6-alkylaminopurines; level 7: 6-alkylaminopurines; level 8: 6-alkylaminopurines
New5,HILIC,Carnosine,Carnosine,Carnosine,Carnosine,NA,NA,NA,NA,NA,NA,C9H14N4O3,10.47,227.114416,[M+H],1,cpd:C00386,NA,CHEBI:15727,HILICPos,NA,Aq,4,Mix2,190514,Carnosine; Nalpha-(beta-alanyl)-L-histidine,(2S)-2-(3-aminopropanoylamino)-3-(1H-imidazol-5-yl)propanoic acid,CQOVPNPJLQNMDC-ZETCQYMHSA-N,C1=C(NC=N1)CC(C(=O)O)NC(=O)CCN,kingdom: Organic_compounds; superclass: Organic_acids_and_derivatives; class: Peptidomimetics; subclass: Hybrid_peptides; level 5: Hybrid_peptides; level 6: Hybrid_peptides; level 7: Hybrid_peptides; level 8: Hybrid_peptides
New5,HILIC,Carnosine,Carnosine,Carnosine,Carnosine,NA,NA,NA,NA,NA,NA,C9H14N4O3,10.47,225.098766,[M-H],-1,cpd:C00386,NA,CHEBI:15727,HILICNeg,NA,Aq,4,Mix2,190514,Carnosine; Nalpha-(beta-alanyl)-L-histidine,(2S)-2-(3-aminopropanoylamino)-3-(1H-imidazol-5-yl)propanoic acid,CQOVPNPJLQNMDC-ZETCQYMHSA-N,C1=C(NC=N1)CC(C(=O)O)NC(=O)CCN,kingdom: Organic_compounds; superclass: Organic_acids_and_derivatives; class: Peptidomimetics; subclass: Hybrid_peptides; level 5: Hybrid_peptides; level 6: Hybrid_peptides; level 7: Hybrid_peptides; level 8: Hybrid_peptides
New5,HILIC,N-Acetyl-D-glucosamine,N-Acetylglucosamine,N-Acetylglucosamine,N Acetylglucosamine,NA,NA,NA,NA,NA,NA,C8H15NO6,8.55,222.097764,[M+H],1,cpd:C00140,NA,CHEBI:506227,HILICPos,NA,Aq,6,Mix2,190514,N-Acetyl-D-glucosamine; N-Acetylchitosamine; 2-Acetamido-2-deoxy-D-glucose; GlcNAc,"N-[(3R,4R,5S,6R)-2,4,5-trihydroxy-6-(hydroxymethyl)oxan-3-yl]acetamide",OVRNDRQMDRJTHS-RTRLPJTCSA-N,CC(=O)NC1C(C(C(OC1O)CO)O)O,kingdom: Organic_compounds; superclass: Organic_oxygen_compounds; class: Organooxygen_compounds; subclass: Carbohydrates_and_carbohydrate_conjugates; level 5: Aminosaccharides; level 6: Amino_sugars; level 7: Acylaminosugars; level 8: Acylaminosugars
New5,HILIC,beta-Glutamic acid,beta-Glutamic acid,b-Glutamic acid,beta Glutamic acid,NA,NA,NA,NA,NA,NA,C5H9NO4,11.9,148.060984,[M+H],1,NA,NA,NA,HILICPos,NA,Aq,4,Mix2,190514,NA,3-aminopentanedioic acid,BBJIPMIXTXKYLZ-UHFFFAOYSA-N,C(C(CC(=O)O)N)C(=O)O,kingdom: Organic_compounds; superclass: Lipids_and_lipid-like_molecules; class: Fatty_Acyls; subclass: Fatty_acids_and_conjugates; level 5: Amino_fatty_acids; level 6: Amino_fatty_acids; level 7: Amino_fatty_acids; level 8: Amino_fatty_acids
New5,HILIC,Anserine,Anserine,Anserine,Anserine,NA,NA,NA,NA,NA,NA,C10H16N4O3,8.55,241.130066,[M+H],1,cpd:C01262,NA,CHEBI:18323,HILICPos,NA,Aq,4,Mix2,190514,beta-Alanyl-N(pi)-methyl-L-histidine; Anserine,(2S)-2-(3-aminopropanoylamino)-3-(3-methylimidazol-4-yl)propanoic acid,MYYIAHXIVFADCU-QMMMGPOBSA-N,CN1C=NC=C1CC(C(=O)O)NC(=O)CCN,kingdom: Organic_compounds; superclass: Organic_acids_and_derivatives; class: Peptidomimetics; subclass: Hybrid_peptides; level 5: Hybrid_peptides; level 6: Hybrid_peptides; level 7: Hybrid_peptides; level 8: Hybrid_peptides
New5,HILIC,Anserine,Anserine,Anserine,Anserine,NA,NA,NA,NA,NA,NA,C10H16N4O3,8.55,239.114416,[M-H],-1,cpd:C01262,NA,CHEBI:18323,HILICNeg,NA,Aq,4,Mix2,190514,beta-Alanyl-N(pi)-methyl-L-histidine; Anserine,(2S)-2-(3-aminopropanoylamino)-3-(3-methylimidazol-4-yl)propanoic acid,MYYIAHXIVFADCU-QMMMGPOBSA-N,CN1C=NC=C1CC(C(=O)O)NC(=O)CCN,kingdom: Organic_compounds; superclass: Organic_acids_and_derivatives; class: Peptidomimetics; subclass: Hybrid_peptides; level 5: Hybrid_peptides; level 6: Hybrid_peptides; level 7: Hybrid_peptides; level 8: Hybrid_peptides
New5,HILIC,N-Acetylmuramic acid,N-Acetylmuramic acid,MurNAc,MurNAc,NA,NA,NA,NA,NA,NA,C11H19NO8,3.35,294.118894,[M+H],1,cpd:C02713,NA,CHEBI:21615,HILICPos,NA,Aq,5,Mix2,190514,N-Acetylmuramate; N-Acetylmuramic acid; N-Acetyl-D-muramoate,"(2R)-2-[(3R,4R,5S,6R)-3-acetamido-2,5-dihydroxy-6-(hydroxymethyl)oxan-4-yl]oxypropanoic acid",MNLRQHMNZILYPY-MKFCKLDKSA-N,CC(C(=O)O)OC1C(C(OC(C1O)CO)O)NC(=O)C,kingdom: Organic_compounds; superclass: Organic_oxygen_compounds; class: Organooxygen_compounds; subclass: Carbohydrates_and_carbohydrate_conjugates; level 5: Aminosaccharides; level 6: Amino_sugars; level 7: Acylaminosugars; level 8: Acylaminosugars
New5,HILIC,N-Acetylmuramic acid,N-Acetylmuramic acid,MurNAc,MurNAc,NA,NA,NA,NA,NA,NA,C11H19NO8,3.35,292.103244,[M-H],-1,cpd:C02713,NA,CHEBI:21615,HILICNeg,NA,Aq,5,Mix2,190514,N-Acetylmuramate; N-Acetylmuramic acid; N-Acetyl-D-muramoate,"(2R)-2-[(3R,4R,5S,6R)-3-acetamido-2,5-dihydroxy-6-(hydroxymethyl)oxan-4-yl]oxypropanoic acid",MNLRQHMNZILYPY-MKFCKLDKSA-N,CC(C(=O)O)OC1C(C(OC(C1O)CO)O)NC(=O)C,kingdom: Organic_compounds; superclass: Organic_oxygen_compounds; class: Organooxygen_compounds; subclass: Carbohydrates_and_carbohydrate_conjugates; level 5: Aminosaccharides; level 6: Amino_sugars; level 7: Acylaminosugars; level 8: Acylaminosugars
New5,HILIC,Hypoxanthine,Hypoxanthine,Hypoxanthine,Hypoxanthine,NA,NA,NA,NA,NA,NA,C5H4N4O,5.51,137.046336,[M+H],1,cpd:C00262,NA,CHEBI:17368,HILICPos,NA,Aq,4,Mix2,190514,Hypoxanthine; Purine-6-ol,"1,7-dihydropurin-6-one",FDGQSTZJBFJUBT-UHFFFAOYSA-N,C1=NC2=C(N1)C(=O)NC=N2,kingdom: Organic_compounds; superclass: Organoheterocyclic_compounds; class: Imidazopyrimidines; subclass: Purines_and_purine_derivatives; level 5: Purinones; level 6: Hypoxanthines; level 7: Hypoxanthines; level 8: Hypoxanthines
New5,HILIC,Hypoxanthine,Hypoxanthine,Hypoxanthine,Hypoxanthine,NA,NA,NA,NA,NA,NA,C5H4N4O,5.51,135.030686,[M-H],-1,cpd:C00262,NA,CHEBI:17368,HILICNeg,NA,Aq,4,Mix2,190514,Hypoxanthine; Purine-6-ol,"1,7-dihydropurin-6-one",FDGQSTZJBFJUBT-UHFFFAOYSA-N,C1=NC2=C(N1)C(=O)NC=N2,kingdom: Organic_compounds; superclass: Organoheterocyclic_compounds; class: Imidazopyrimidines; subclass: Purines_and_purine_derivatives; level 5: Purinones; level 6: Hypoxanthines; level 7: Hypoxanthines; level 8: Hypoxanthines
New6,HILIC,"2,3-Pyridinedicarboxylic acid",Pyridinedicarboxylic acid,Pyridinedicarboxylic acid,Pyridinedicarboxylic acid,NA,NA,NA,NA,NA,NA,C7H5NO4,10.17,168.029684,[M+H],1,cpd:C03722,CHEBI:16675,CHEBI:36112,HILICPos,NA,Aq,5,Mix1,190715,"Quinolinate; Pyridine-2,3-dicarboxylate; Quinolinic acid; 2,3-Pyridinedicarboxylic acid","pyridine-2,3-dicarboxylic acid",GJAWHXHKYYXBSV-UHFFFAOYSA-N,C1=CC(=C(N=C1)C(=O)O)C(=O)O,NA
New6,HILIC,Threonic acid,Threonic acid,Threonic acid,Threonic acid,NA,NA,NA,NA,NA,NA,C4H8O5,10.37,135.02935,[M-H],-1,NA,NA,CHEBI:15908,HILICNeg,NA,Aq,4,Mix1,190715,NA,"(2S,3R)-2,3,4-trihydroxybutanoic acid",JPIJQSOTBSSVTP-GBXIJSLDSA-N,C(C(C(C(=O)O)O)O)O,kingdom: Organic_compounds; superclass: Organic_oxygen_compounds; class: Organooxygen_compounds; subclass: Carbohydrates_and_carbohydrate_conjugates; level 5: Sugar_acids_and_derivatives; level 6: Sugar_acids_and_derivatives; level 7: Sugar_acids_and_derivatives; level 8: Sugar_acids_and_derivatives
New6,HILIC,Propionylglycine,Propionylglycine,Propionylglycine,Propionylglycine,NA,NA,NA,NA,NA,NA,C5H9NO3,5.52,130.050419,[M-H],-1,NA,NA,CHEBI:89836,HILICNeg,NA,Aq,5,Mix1,190715,NA,2-(propanoylamino)acetic acid,WOMAZEJKVZLLFE-UHFFFAOYSA-N,CCC(=O)NCC(=O)O,kingdom: Organic_compounds; superclass: Organic_acids_and_derivatives; class: Carboxylic_acids_and_derivatives; subclass: Amino_acids_peptides_and_analogues; level 5: Amino_acids_and_derivatives; level 6: Alpha_amino_acids_and_derivatives; level 7: N-acyl-alpha_amino_acids_and_derivatives; level 8: N-acyl-alpha_amino_acids
New6,HILIC,Succinylglycine,Succinylglycine,Succinylglycine,Succinylglycine,NA,NA,NA,NA,NA,NA,C6H9NO5,12.58,176.055899,[M+H],1,NA,NA,NA,HILICPos,NA,Aq,4,Mix1,190715,NA,4-(carboxymethylamino)-4-oxobutanoic acid,HQESMQVYRAJTEA-UHFFFAOYSA-N,C(CC(=O)O)C(=O)NCC(=O)O,kingdom: Organic_compounds; superclass: Organic_acids_and_derivatives; class: Carboxylic_acids_and_derivatives; subclass: Amino_acids_peptides_and_analogues; level 5: Amino_acids_and_derivatives; level 6: Alpha_amino_acids_and_derivatives; level 7: N-acyl-alpha_amino_acids_and_derivatives; level 8: N-acyl-alpha_amino_acids
New6,HILIC,Acetylglycine,Acetylglycine,Acetylglycine,Acetylglycine,NA,NA,NA,NA,NA,NA,C4H7NO3,7.81,116.034769,[M-H],-1,NA,NA,CHEBI:40410,HILICNeg,NA,Aq,5,Mix1,190715,NA,2-acetamidoacetic acid,OKJIRPAQVSHGFK-UHFFFAOYSA-N,CC(=O)NCC(=O)O,kingdom: Organic_compounds; superclass: Organic_acids_and_derivatives; class: Carboxylic_acids_and_derivatives; subclass: Amino_acids_peptides_and_analogues; level 5: Amino_acids_and_derivatives; level 6: Alpha_amino_acids_and_derivatives; level 7: N-acyl-alpha_amino_acids_and_derivatives; level 8: N-acyl-alpha_amino_acids
New6,HILIC,Butyrylglycine,Butyrylglycine,Butyrylglycine,Butyrylglycine,NA,NA,NA,NA,NA,NA,C6H11NO3,2.92,144.066069,[M-H],-1,NA,NA,CHEBI:89963,HILICNeg,NA,Aq,4,Mix1,190715,NA,2-(butanoylamino)acetic acid,WPSSBBPLVMTKRN-UHFFFAOYSA-N,CCCC(=O)NCC(=O)O,kingdom: Organic_compounds; superclass: Organic_acids_and_derivatives; class: Carboxylic_acids_and_derivatives; subclass: Amino_acids_peptides_and_analogues; level 5: Amino_acids_and_derivatives; level 6: Alpha_amino_acids_and_derivatives; level 7: N-acyl-alpha_amino_acids_and_derivatives; level 8: N-acyl-alpha_amino_acids
New6,HILIC,Ergothioneine,Ergothioneine,Ergothioneine,Ergothioneine,NA,NA,NA,NA,NA,NA,C9H15N3O2S,11.29,230.096324,[M+H],1,cpd:C05570,NA,CHEBI:4828,HILICPos,NA,Aq,4,Mix1,190715,Ergothioneine,"(2S)-3-(2-sulfanylidene-1,3-dihydroimidazol-4-yl)-2-(trimethylazaniumyl)propanoate",SSISHJJTAXXQAX-ZETCQYMHSA-N,C[N+](C)(C)C(CC1=CNC(=S)N1)C(=O)[O-],kingdom: Organic_compounds; superclass: Organic_acids_and_derivatives; class: Carboxylic_acids_and_derivatives; subclass: Amino_acids_peptides_and_analogues; level 5: Amino_acids_and_derivatives; level 6: Alpha_amino_acids_and_derivatives; level 7: Histidine_and_derivatives; level 8: Histidine_and_derivatives
New6,HILIC,Glutamylphenylalanine,Glutamylphenylalanine,GMPA,Glutamylphenylalanine,NA,NA,NA,NA,NA,NA,C14H18N2O5,9.55,295.129398,[M+H],1,NA,NA,CHEBI:82966,HILICNeg,NA,Aq,4,Mix1,190715,NA,(2S)-2-amino-5-[[(1S)-1-carboxy-2-phenylethyl]amino]-5-oxopentanoic acid,XHHOHZPNYFQJKL-QWRGUYRKSA-N,C1=CC=C(C=C1)CC(C(=O)O)NC(=O)CCC(C(=O)O)N,kingdom: Organic_compounds; superclass: Organic_acids_and_derivatives; class: Carboxylic_acids_and_derivatives; subclass: Amino_acids_peptides_and_analogues; level 5: Amino_acids_and_derivatives; level 6: Alpha_amino_acids_and_derivatives; level 7: Phenylalanine_and_derivatives; level 8: Phenylalanine_and_derivatives
New6,HILIC,Glutamylphenylalanine,Glutamylphenylalanine,GMPA,Glutamylphenylalanine,NA,NA,NA,NA,NA,NA,C14H18N2O5,9.55,293.113748,[M-H],-1,NA,NA,CHEBI:82966,HILICPos,NA,Aq,4,Mix1,190715,NA,(2S)-2-amino-5-[[(1S)-1-carboxy-2-phenylethyl]amino]-5-oxopentanoic acid,XHHOHZPNYFQJKL-QWRGUYRKSA-N,C1=CC=C(C=C1)CC(C(=O)O)NC(=O)CCC(C(=O)O)N,kingdom: Organic_compounds; superclass: Organic_acids_and_derivatives; class: Carboxylic_acids_and_derivatives; subclass: Amino_acids_peptides_and_analogues; level 5: Amino_acids_and_derivatives; level 6: Alpha_amino_acids_and_derivatives; level 7: Phenylalanine_and_derivatives; level 8: Phenylalanine_and_derivatives
